"","tier","start","stop","duration","comment_clean","referent","relavence","classification","id","ant"
"59","Caregiver linguistic",291.057,292.097,1.04,"aguacate","aguacate",0,"normal","415","label - object present"
"60","Caregiver linguistic",126.895,127.723,0.828,"aguacate","aguacate",0,"normal","232","label - object present"
"61","Caregiver linguistic",206.422,206.845,0.423,"aguacate","aguacate",0,"normal","109","label - object present"
"62","Caregiver linguistic",20.106,21.76,1.654,"aguacate","aguacate",0,"normal","196","label - object present"
"63","Caregiver linguistic",25.34,27.28,1.94,"aguacate","aguacate",0,"normal","351","label - object present"
"64","Caregiver linguistic",57.709,59.183,1.474,"aguacate","aguacate",0,"normal","351","label - object present"
"65","Caregiver linguistic",133.914,134.795,0.881,"aguacate","aguacate",0,"normal","309","label - object present"
"66","Caregiver linguistic",136.549,137.599,1.05,"aguacate","aguacate",0,"normal","309","label - object present"
"67","Caregiver linguistic",359.693,360.131,0.438,"aguacate","aguacate",0,"normal","260","label - object present"
"68","Caregiver linguistic",27.28,28.6,1.32,"aguacate","aguacate",0,"normal","355","label - object present"
"69","Caregiver linguistic",29.859,31.239,1.38,"aguacate","aguacate",0,"normal","355","label - object present"
"70","Caregiver linguistic",134.138,134.899,0.761,"aguacate","aguacate",0,"normal","355","label - object present"
"71","Caregiver linguistic",135.729,136.389,0.66,"aguacate","aguacate",0,"normal","355","label - object present"
"72","Caregiver linguistic",321.974,322.874,0.9,"aguacate","aguacate",0,"normal","355","label - object present"
"73","Caregiver linguistic",324.22,325.334,1.114,"aguacate","aguacate",0,"normal","355","label - object present"
"74","Caregiver linguistic",253.572,254.56,0.988,"aguacate","aguacate",1,"relevant","190","label - object present"
"75","Caregiver linguistic",255.874,257.322,1.448,"aguacate","aguacate",1,"relevant","190","label - object present"
"76","Caregiver linguistic",222.82,224.1,1.28,"aguacate","aguacate",1,"relevant","444","label - object present"
"77","Caregiver linguistic",227.2,228.42,1.22,"aguacate","aguacate",1,"relevant","444","label - object present"
"78","Caregiver linguistic",209.302,210.234,0.932,"aguacate","aguacate",1,"relevant","417","label - object present"
"79","Caregiver linguistic",62.9,64.013,1.113,"aguacate","aguacate",1,"relevant","157","label - object present"
"80","Caregiver linguistic",292.013,292.613,0.6,"aguacate","aguacate",1,"relevant","157","label - object present"
"81","Caregiver linguistic",202.469,203.394,0.925,"aguacate","aguacate",1,"relevant","431","label - object present"
"82","Caregiver linguistic",57.077,58.214,1.137,"aguacate","aguacate",1,"relevant","150","label - object present"
"83","Caregiver linguistic",63.94,64.483,0.543,"aguacate","aguacate",1,"relevant","150","label - object present"
"84","Caregiver linguistic",72.387,73.364,0.977,"aguacate","aguacate",1,"relevant","114","label - object present"
"85","Caregiver linguistic",73.797,75.069,1.272,"aguacate","aguacate",1,"relevant","114","label - object present"
"86","Caregiver linguistic",76.645,77.939,1.294,"aguacate","aguacate",1,"relevant","114","label - object present"
"87","Caregiver linguistic",55.096,55.763,0.667,"aguacate","aguacate",1,"relevant","168","label - object present"
"88","Caregiver linguistic",297.019,298.698,1.679,"aguacate","aguacate",1,"relevant","132","label - object present"
"89","Caregiver linguistic",93.398,94.497,1.099,"aguacate","aguacate",1,"relevant","141","label - object present"
"90","Caregiver linguistic",95.288,96.556,1.268,"aguacate","aguacate",1,"relevant","141","label - object present"
"91","Caregiver linguistic",98.42,99.253,0.833,"aguacate","aguacate",1,"relevant","141","label - object present"
"92","Caregiver linguistic",58.35,59.357,1.007,"aguacate","aguacate",1,"relevant","192","label - object present"
"93","Caregiver linguistic",59.883,60.737,0.854,"aguacate","aguacate",1,"relevant","192","label - object present"
"94","Caregiver linguistic",75.645,76.965,1.32,"aguacate","aguacate",1,"relevant","415","label - object present"
"95","Caregiver linguistic",84.805,85.639,0.834,"aguacate","aguacate",1,"relevant","411","label - object present"
"96","Caregiver linguistic",148.719,149.291,0.572,"aguacate","aguacate",1,"relevant","411","label - object present"
"97","Caregiver linguistic",157.905,158.792,0.887,"aguacate","aguacate",1,"relevant","411","label - object present"
"98","Caregiver linguistic",118.992,120.335,1.343,"aguacate","aguacate",1,"relevant","105","label - object present"
"99","Caregiver linguistic",176.338,177.085,0.747,"aguacate","aguacate",1,"relevant","109","label - object present"
"100","Caregiver linguistic",180.634,181.655,1.021,"aguacate","aguacate",1,"relevant","109","label - object present"
"101","Caregiver linguistic",183.518,184.932,1.414,"aguacate","aguacate",1,"relevant","109","label - object present"
"102","Caregiver linguistic",204.512,205.095,0.583,"aguacate","aguacate",1,"relevant","109","label - object present"
"103","Caregiver linguistic",78.546,80.021,1.475,"aguacate","aguacate",1,"relevant","400","label - object present"
"104","Caregiver linguistic",83.61,84.942,1.332,"aguacate","aguacate",1,"relevant","400","label - object present"
"105","Caregiver linguistic",232.585,234.145,1.56,"aguacate","aguacate",1,"relevant","400","label - object present"
"106","Caregiver linguistic",246.504,247.936,1.432,"aguacate","aguacate",1,"relevant","400","label - object present"
"107","Caregiver linguistic",346.555,347.454,0.899,"aguacate","aguacate",1,"relevant","369","label - object present"
"108","Caregiver linguistic",16.51,17.625,1.115,"aguacate","aguacate",1,"relevant","084","label - object present"
"109","Caregiver linguistic",129.858,130.925,1.067,"aguacate","aguacate",1,"relevant","309","label - object present"
"110","Caregiver linguistic",48.822,49.794,0.972,"aguacate","aguacate",1,"relevant","260","label - object present"
"111","Caregiver linguistic",54.247,54.888,0.641,"aguacate","aguacate",1,"relevant","260","label - object present"
"112","Caregiver linguistic",358.297,358.896,0.599,"aguacate","aguacate",1,"relevant","260","label - object present"
"113","Caregiver linguistic",33.8,34.933,1.133,"aguacate","aguacate",1,"relevant","355","label - object present"
"114","Caregiver linguistic",337.354,338.007,0.653,"aguacate","aguacate",1,"relevant","355","label - object present"
"115","Caregiver linguistic",266.373,267.427,1.054,"aguacate","aguacate",1,"relevant","145","label - object present"
"116","Caregiver linguistic",269.267,269.886,0.619,"aguacate","aguacate",1,"relevant","145","label - object present"
"117","Caregiver linguistic",66.15,66.896,0.746,"aguacate","aguacate",1,"relevant","157","label - object present"
"118","Caregiver linguistic",197.715,198.835,1.12,"aguacate","aguacate",1,"relevant","414","label - object present"
"119","Caregiver linguistic",199.275,200.455,1.18,"aguacate","aguacate",1,"relevant","414","label - object present"
"120","Caregiver linguistic",230.296,230.865,0.569,"aguita","taza",0,"normal","150","label - object imaginary"
"121","Caregiver linguistic",333.96,334.563,0.603,"aguita","taza",0,"normal","372","label - object present"
"122","Caregiver linguistic",98.577,99.06,0.483,"aguita","taza",0,"normal","193","label - object imaginary"
"123","Caregiver linguistic",234.881,235.421,0.54,"aguita","taza",0,"normal","150","label - object imaginary"
"124","Caregiver linguistic",241.999,243.093,1.094,"aplastador de jitomate","aplastador de jitomate",1,"relevant","150","label - object present"
"125","Caregiver linguistic",36.68,37.31,0.63,"arbol","arbol",1,"relevant","417","label - object present"
"126","Caregiver linguistic",37.898,38.641,0.743,"arbolito","arbol",1,"relevant","417","label - object present"
"127","Caregiver linguistic",42.216,42.956,0.74,"arbolito","arbol",1,"relevant","417","label - object present"
"128","Caregiver linguistic",45.54,46.26,0.72,"arbolito","arbol",1,"relevant","417","label - object present"
"129","Caregiver linguistic",168.557,169.457,0.9,"arbolito","arbol",1,"relevant","417","label - object present"
"130","Caregiver linguistic",170.654,171.147,0.493,"arbolito","arbol",1,"relevant","417","label - object present"
"131","Caregiver linguistic",124.193,124.573,0.38,"avena","avena",0,"normal","411","label - object present"
"132","Caregiver linguistic",311.112,311.414,0.302,"avena","avena",0,"normal","411","label - object present"
"133","Caregiver linguistic",292.701,293.141,0.44,"avenita","avena",0,"normal","411","label - object imaginary"
"134","Caregiver linguistic",297.798,298.321,0.523,"avenita","avena",0,"normal","411","label - object present"
"135","Caregiver linguistic",50.744,51.607,0.863,"bañano","banana",1,"relevant","193","label - object present"
"136","Caregiver linguistic",78.08,79.62,1.54,"banana","banana",0,"normal","414","label - object present"
"137","Caregiver linguistic",91.858,92.958,1.1,"banana","banana",0,"normal","414","label - object present"
"138","Caregiver linguistic",57.104,58.094,0.99,"banana","banana",0,"normal","132","label - object present"
"139","Caregiver linguistic",136.121,137.499,1.378,"banana","banana",0,"normal","132","label - object present"
"140","Caregiver linguistic",296.57,297.28,0.71,"banana","banana",0,"normal","370","label - object present"
"141","Caregiver linguistic",167.446,168.473,1.027,"banana","banana",0,"normal","141","label - object present"
"142","Caregiver linguistic",172.273,173.076,0.803,"banana","banana",0,"normal","141","label - object present"
"143","Caregiver linguistic",177.366,178.065,0.699,"banana","banana",0,"normal","141","label - object present"
"144","Caregiver linguistic",180.644,181.813,1.169,"banana","banana",0,"normal","141","label - object present"
"145","Caregiver linguistic",247.947,249.287,1.34,"banana","banana",0,"normal","436","label - object present"
"146","Caregiver linguistic",254.763,256.417,1.654,"banana","banana",0,"normal","436","label - object present"
"147","Caregiver linguistic",287.107,288.358,1.251,"banana","banana",0,"normal","436","label - object present"
"148","Caregiver linguistic",291.377,292.777,1.4,"banana","banana",0,"normal","436","label - object present"
"149","Caregiver linguistic",235.001,235.304,0.303,"banana","banana",0,"normal","435","label - object present"
"150","Caregiver linguistic",89.34,90.386,1.046,"banana","banana",0,"normal","140","label - object present"
"151","Caregiver linguistic",91.549,92.51,0.961,"banana","banana",0,"normal","140","label - object present"
"152","Caregiver linguistic",94.21,97.09,2.88,"banana","banana",0,"normal","140","label - object present"
"153","Caregiver linguistic",168.04,169.04,1,"banana","banana",0,"normal","140","label - object present"
"154","Caregiver linguistic",308.35,309.347,0.997,"banana","banana",0,"normal","182","label - object present"
"155","Caregiver linguistic",325.328,325.788,0.46,"banana","banana",0,"normal","182","label - object present"
"156","Caregiver linguistic",335.072,335.615,0.543,"banana","banana",0,"normal","182","label - object present"
"157","Caregiver linguistic",338.928,339.536,0.608,"banana","banana",0,"normal","182","label - object present"
"158","Caregiver linguistic",343.958,344.347,0.389,"banana","banana",0,"normal","182","label - object present"
"159","Caregiver linguistic",351.67,352.155,0.485,"banana","banana",0,"normal","182","label - object present"
"160","Caregiver linguistic",352.841,353.247,0.406,"banana","banana",0,"normal","182","label - object present"
"161","Caregiver linguistic",357.728,358.588,0.86,"banana","banana",0,"normal","182","label - object present"
"162","Caregiver linguistic",108.993,109.621,0.628,"banana","banana",0,"normal","109","label - object present"
"163","Caregiver linguistic",64.044,64.666,0.622,"banana","banana",0,"normal","133","label - object present"
"164","Caregiver linguistic",64.822,65.935,1.113,"banana","banana",0,"normal","133","label - object present"
"165","Caregiver linguistic",75.239,75.745,0.506,"banana","banana",0,"normal","133","label - object present"
"166","Caregiver linguistic",75.753,76.285,0.532,"banana","banana",0,"normal","133","label - object present"
"167","Caregiver linguistic",77.352,78.044,0.692,"banana","banana",0,"normal","133","label - object present"
"168","Caregiver linguistic",274.202,274.922,0.72,"banana","banana",0,"normal","133","label - object present"
"169","Caregiver linguistic",277.865,278.873,1.008,"banana","banana",0,"normal","133","label - object present"
"170","Caregiver linguistic",283.498,284.286,0.788,"banana","banana",0,"normal","133","label - object present"
"171","Caregiver linguistic",286.123,286.655,0.532,"banana","banana",0,"normal","133","label - object present"
"172","Caregiver linguistic",47.465,47.999,0.534,"banana","banana",0,"normal","369","label - object present"
"173","Caregiver linguistic",161.993,163.059,1.066,"banana","banana",0,"normal","369","label - object present"
"174","Caregiver linguistic",307.254,307.985,0.731,"banana","banana",0,"normal","369","label - object present"
"175","Caregiver linguistic",310.022,310.982,0.96,"banana","banana",0,"normal","369","label - object present"
"176","Caregiver linguistic",172.986,173.849,0.863,"banana","banana",0,"normal","309","label - object present"
"177","Caregiver linguistic",231.189,232.029,0.84,"banana","banana",0,"normal","309","label - object present"
"178","Caregiver linguistic",283.42,283.916,0.496,"banana","banana",0,"normal","309","label - object present"
"179","Caregiver linguistic",287.361,288.128,0.767,"banana","banana",0,"normal","309","label - object present"
"180","Caregiver linguistic",33.826,34.346,0.52,"banana","banana",0,"normal","260","label - object present"
"181","Caregiver linguistic",36.859,37.619,0.76,"banana","banana",0,"normal","260","label - object present"
"182","Caregiver linguistic",75.909,76.35,0.441,"banana","banana",0,"normal","260","label - object present"
"183","Caregiver linguistic",86.913,87.603,0.69,"banana","banana",0,"normal","260","label - object present"
"184","Caregiver linguistic",97.018,97.618,0.6,"banana","banana",0,"normal","260","label - object present"
"185","Caregiver linguistic",116.176,116.848,0.672,"banana","banana",0,"normal","260","label - object present"
"186","Caregiver linguistic",296.809,297.303,0.494,"banana","banana",0,"normal","355","label - object present"
"187","Caregiver linguistic",336.7,337.32,0.62,"banana","banana",1,"relevant","190","label - object present"
"188","Caregiver linguistic",94.994,95.641,0.647,"banana","banana",1,"relevant","150","label - object present"
"189","Caregiver linguistic",96.964,98.494,1.53,"banana","banana",1,"relevant","150","label - object present"
"190","Caregiver linguistic",99.607,100.239,0.632,"banana","banana",1,"relevant","150","label - object present"
"191","Caregiver linguistic",67.032,68.228,1.196,"banana","banana",1,"relevant","132","label - object present"
"192","Caregiver linguistic",69.317,70.751,1.434,"banana","banana",1,"relevant","132","label - object present"
"193","Caregiver linguistic",139.164,140.334,1.17,"banana","banana",1,"relevant","132","label - object present"
"194","Caregiver linguistic",141.877,142.99,1.113,"banana","banana",1,"relevant","132","label - object present"
"195","Caregiver linguistic",265.37,266.137,0.767,"banana","banana",1,"relevant","436","label - object present"
"196","Caregiver linguistic",219.94,220.543,0.603,"banana","banana",1,"relevant","435","label - object present"
"197","Caregiver linguistic",222.307,222.776,0.469,"banana","banana",1,"relevant","435","label - object present"
"198","Caregiver linguistic",158.89,159.562,0.672,"banana","banana",1,"relevant","140","label - object present"
"199","Caregiver linguistic",160.449,160.949,0.5,"banana","banana",1,"relevant","140","label - object present"
"200","Caregiver linguistic",22.446,23.214,0.768,"banana","banana",1,"relevant","109","label - object present"
"201","Caregiver linguistic",25.348,25.789,0.441,"banana","banana",1,"relevant","109","label - object present"
"202","Caregiver linguistic",30.022,30.875,0.853,"banana","banana",1,"relevant","109","label - object present"
"203","Caregiver linguistic",31.719,32.464,0.745,"banana","banana",1,"relevant","109","label - object present"
"204","Caregiver linguistic",34.315,35.018,0.703,"banana","banana",1,"relevant","109","label - object present"
"205","Caregiver linguistic",121.304,121.824,0.52,"banana","banana",1,"relevant","109","label - object present"
"206","Caregiver linguistic",48.697,49.083,0.386,"banana","banana",1,"relevant","369","label - object present"
"207","Caregiver linguistic",49.717,50.063,0.346,"banana","banana",1,"relevant","369","label - object present"
"208","Caregiver linguistic",51.63,52.176,0.546,"banana","banana",1,"relevant","369","label - object present"
"209","Caregiver linguistic",64.312,66.215,1.903,"banana","banana",1,"relevant","309","label - object present"
"210","Caregiver linguistic",67.549,68.276,0.727,"banana","banana",1,"relevant","309","label - object present"
"211","Caregiver linguistic",70.167,70.785,0.618,"banana","banana",1,"relevant","260","label - object present"
"212","Caregiver linguistic",102.737,103.099,0.362,"banana","banana",1,"relevant","260","label - object present"
"213","Caregiver linguistic",121.38,121.894,0.514,"banana","banana",1,"relevant","260","label - object present"
"214","Caregiver linguistic",72.809,73.643,0.834,"bananas","banana",0,"normal","168","label - object present"
"215","Caregiver linguistic",74.183,74.823,0.64,"bananas","banana",0,"normal","168","label - object present"
"216","Caregiver linguistic",78.969,79.583,0.614,"bananas","banana",0,"normal","168","label - object present"
"217","Caregiver linguistic",81.803,82.683,0.88,"bananas","banana",0,"normal","168","label - object present"
"218","Caregiver linguistic",210.76,211.34,0.58,"banano","banana",0,"normal","435","label - object present"
"219","Caregiver linguistic",211.558,212.034,0.476,"banano","banana",0,"normal","435","label - object present"
"220","Caregiver linguistic",113.414,114.241,0.827,"banano","banana",0,"normal","109","label - object present"
"221","Caregiver linguistic",164.822,165.92,1.098,"banano","banana",0,"normal","193","label - object present"
"222","Caregiver linguistic",51.842,52.665,0.823,"banano","banana",1,"relevant","193","label - object present"
"223","Caregiver linguistic",130.922,132.073,1.151,"bote de leche","leche",1,"relevant","109","label - object present"
"224","Caregiver linguistic",73.53,74.65,1.12,"brocoli","brocoli",0,"normal","444","label - object present"
"225","Caregiver linguistic",47.526,48.399,0.873,"brocoli","brocoli",0,"normal","157","label - object present"
"226","Caregiver linguistic",137.69,138.29,0.6,"brocoli","brocoli",0,"normal","157","label - object present"
"227","Caregiver linguistic",142.32,143.28,0.96,"brocoli","brocoli",0,"normal","157","label - object present"
"228","Caregiver linguistic",167.879,168.772,0.893,"brocoli","brocoli",0,"normal","157","label - object present"
"229","Caregiver linguistic",198.296,199.049,0.753,"brocoli","brocoli",0,"normal","157","label - object present"
"230","Caregiver linguistic",253.276,254.049,0.773,"brocoli","brocoli",0,"normal","157","label - object present"
"231","Caregiver linguistic",263.684,264.424,0.74,"brocoli","brocoli",0,"normal","157","label - object present"
"232","Caregiver linguistic",320.723,321.236,0.513,"brocoli","brocoli",0,"normal","157","label - object present"
"233","Caregiver linguistic",321.432,321.913,0.481,"brocoli","brocoli",0,"normal","157","label - object present"
"234","Caregiver linguistic",105.825,106.633,0.808,"brocoli","brocoli",0,"normal","310","label - object present"
"235","Caregiver linguistic",311.316,311.941,0.625,"brocoli","brocoli",0,"normal","114","label - object present"
"236","Caregiver linguistic",278.162,278.944,0.782,"brocoli","brocoli",0,"normal","146","label - object present"
"237","Caregiver linguistic",280.501,281.049,0.548,"brocoli","brocoli",0,"normal","146","label - object present"
"238","Caregiver linguistic",311.056,311.923,0.867,"brocoli","brocoli",0,"normal","146","label - object present"
"239","Caregiver linguistic",128.201,128.607,0.406,"brocoli","brocoli",0,"normal","168","label - object present"
"240","Caregiver linguistic",130.641,131.32,0.679,"brocoli","brocoli",0,"normal","168","label - object present"
"241","Caregiver linguistic",137.491,138.291,0.8,"brocoli","brocoli",0,"normal","168","label - object present"
"242","Caregiver linguistic",166.04,167.24,1.2,"brocoli","brocoli",0,"normal","168","label - object present"
"243","Caregiver linguistic",283.639,284.208,0.569,"brocoli","brocoli",1,"relevant","132","label - object present"
"244","Caregiver linguistic",288.378,289.736,1.358,"brocoli","brocoli",0,"normal","132","label - object present"
"245","Caregiver linguistic",276.102,276.764,0.662,"brocoli","brocoli",0,"normal","141","label - object present"
"246","Caregiver linguistic",240.689,241.115,0.426,"brocoli","brocoli",0,"normal","435","label - object present"
"247","Caregiver linguistic",241.929,242.372,0.443,"brocoli","brocoli",0,"normal","435","label - object present"
"248","Caregiver linguistic",247.02,248.275,1.255,"brocoli","brocoli",0,"normal","182","label - object present"
"249","Caregiver linguistic",73.853,74.626,0.773,"brocoli","brocoli",0,"normal","411","label - object present"
"250","Caregiver linguistic",62.263,62.995,0.732,"brocoli","brocoli",0,"normal","401","label - object present"
"251","Caregiver linguistic",63.37,63.892,0.522,"brocoli","brocoli",0,"normal","401","label - object present"
"252","Caregiver linguistic",175.264,175.819,0.555,"brocoli","brocoli",0,"normal","401","label - object present"
"253","Caregiver linguistic",176.142,176.522,0.38,"brocoli","brocoli",0,"normal","401","label - object present"
"254","Caregiver linguistic",123.738,124.617,0.879,"brocoli","brocoli",0,"normal","105","label - object present"
"255","Caregiver linguistic",134.564,135.067,0.503,"brocoli","brocoli",0,"normal","105","label - object present"
"256","Caregiver linguistic",139.806,140.494,0.688,"brocoli","brocoli",0,"normal","105","label - object present"
"257","Caregiver linguistic",338.717,339.563,0.846,"brocoli","brocoli",0,"normal","105","label - object present"
"258","Caregiver linguistic",350.063,350.751,0.688,"brocoli","brocoli",0,"normal","105","label - object present"
"259","Caregiver linguistic",351.025,351.55,0.525,"brocoli","brocoli",0,"normal","105","label - object present"
"260","Caregiver linguistic",73.353,73.893,0.54,"brocoli","brocoli",0,"normal","133","label - object present"
"261","Caregiver linguistic",86.65,87.645,0.995,"brocoli","brocoli",0,"normal","133","label - object present"
"262","Caregiver linguistic",318.423,319.058,0.635,"brocoli","brocoli",0,"normal","445","label - object present"
"263","Caregiver linguistic",54.36,55.26,0.9,"brocoli","brocoli",0,"normal","084","label - object present"
"264","Caregiver linguistic",240.2,240.78,0.58,"brocoli","brocoli",0,"normal","084","label - object present"
"265","Caregiver linguistic",325.564,326.154,0.59,"brocoli","brocoli",0,"normal","260","label - object present"
"266","Caregiver linguistic",338.857,339.371,0.514,"brocoli","brocoli",0,"normal","260","label - object present"
"267","Caregiver linguistic",186.41,187.33,0.92,"brocoli","brocoli",0,"normal","355","label - object present"
"268","Caregiver linguistic",188.05,188.63,0.58,"brocoli","brocoli",0,"normal","355","label - object present"
"269","Caregiver linguistic",189.66,190.16,0.5,"brocoli","brocoli",0,"normal","355","label - object present"
"270","Caregiver linguistic",209.033,210.14,1.107,"brocoli","brocoli",0,"normal","355","label - object present"
"271","Caregiver linguistic",281.768,282.178,0.41,"brocoli","brocoli",0,"normal","355","label - object present"
"272","Caregiver linguistic",283.418,283.798,0.38,"brocoli","brocoli",0,"normal","355","label - object present"
"273","Caregiver linguistic",324.32,325.234,0.914,"brocoli","brocoli",0,"normal","145","label - object present"
"274","Caregiver linguistic",138.828,140.348,1.52,"brocoli","brocoli",1,"relevant","190","label - object present"
"275","Caregiver linguistic",140.932,141.652,0.72,"brocoli","brocoli",1,"relevant","190","label - object present"
"276","Caregiver linguistic",40.218,40.663,0.445,"brocoli","brocoli",1,"relevant","417","label - object present"
"277","Caregiver linguistic",43.178,43.748,0.57,"brocoli","brocoli",1,"relevant","417","label - object present"
"278","Caregiver linguistic",171.772,172.422,0.65,"brocoli","brocoli",1,"relevant","417","label - object present"
"279","Caregiver linguistic",272.645,273.2,0.555,"brocoli","brocoli",1,"relevant","431","label - object present"
"280","Caregiver linguistic",152.677,153.669,0.992,"brocoli","brocoli",1,"relevant","121","label - object present"
"281","Caregiver linguistic",103.148,103.819,0.671,"brocoli","brocoli",1,"relevant","150","label - object present"
"282","Caregiver linguistic",105.314,106.385,1.071,"brocoli","brocoli",1,"relevant","150","label - object present"
"283","Caregiver linguistic",109.462,110.137,0.675,"brocoli","brocoli",1,"relevant","150","label - object present"
"284","Caregiver linguistic",108.689,109.259,0.57,"brocoli","brocoli",1,"relevant","114","label - object present"
"285","Caregiver linguistic",223.398,224.458,1.06,"brocoli","brocoli",1,"relevant","114","label - object present"
